Year,Month,Day,Open,High,Low,Close,Volumn,Return,QPL1,QPL2,QPL3,QPL4,QPL-1,QPL-2,QPL-3,QPL-4
2019,2,8,1.33007000,1.33287000,1.32319000,1.32690000,46450,0.99772919,1.32823291,1.33139579,1.33535673,1.33981521,1.31410929,1.31849683,1.32241939,1.32556843
2019,2,7,1.32089000,1.33169000,1.32032000,1.33065000,45137,1.00282614,1.33198667,1.33515849,1.33913063,1.34360171,1.31782314,1.32222308,1.32615673,1.32931467
2019,2,6,1.31235000,1.32147000,1.31235000,1.32100000,39871,0.99274791,1.32232698,1.32547580,1.32941913,1.33385778,1.30826616,1.31263419,1.31653932,1.31967435
2019,2,5,1.31092000,1.31528000,1.31019000,1.31247000,38614,0.99354277,1.31378841,1.31691690,1.32083476,1.32524476,1.29981838,1.30415821,1.30803812,1.31115291
2019,2,4,1.30897000,1.31471000,1.30852000,1.31090000,48735,0.99880378,1.31221683,1.31534158,1.31925476,1.32365948,1.29826352,1.30259815,1.30647342,1.30958449
2019,2,1,1.31207000,1.31571000,1.30681000,1.30972000,54395,0.99909986,1.31103565,1.31415758,1.31806724,1.32246799,1.29709489,1.30142563,1.30529741,1.30840567
2019,1,31,1.31476000,1.31649000,1.31201000,1.31227000,55756,1.00194698,1.31358821,1.31671622,1.32063349,1.32504281,1.29962031,1.30395948,1.30783880,1.31095311
2019,1,30,1.32681000,1.32813000,1.31185000,1.31472000,52513,1.00186699,1.31604067,1.31917452,1.32309910,1.32751666,1.30204669,1.30639396,1.31028052,1.31340065
2019,1,29,1.32588000,1.32845000,1.32417000,1.32678000,44333,1.00917306,1.32811279,1.33127538,1.33523597,1.33969404,1.31399044,1.31837759,1.32229980,1.32544855
2019,1,28,1.32184000,1.32855000,1.32029000,1.32591000,51907,0.99934428,1.32724191,1.33040243,1.33436042,1.33881558,1.31312883,1.31751310,1.32143274,1.32457942
2019,1,25,1.33447000,1.33610000,1.32177000,1.32232000,52738,0.99729243,1.32364831,1.32680027,1.33074754,1.33519063,1.30957343,1.31394583,1.31785486,1.32099303
2019,1,24,1.33351000,1.33748000,1.33292000,1.33438000,49202,1.00912033,1.33572042,1.33890113,1.34288440,1.34736802,1.32151718,1.32592946,1.32987414,1.33304093
2019,1,23,1.33528000,1.33714000,1.33047000,1.33387000,50219,0.99961780,1.33520991,1.33838940,1.34237115,1.34685305,1.32101210,1.32542269,1.32936586,1.33253144
2019,1,22,1.32874000,1.33571000,1.32874000,1.33519000,40072,1.00098960,1.33653123,1.33971388,1.34369956,1.34818590,1.32231937,1.32673433,1.33068140,1.33385011
2019,1,21,1.32597000,1.33176000,1.32516000,1.32884000,48580,0.99524412,1.33017486,1.33334236,1.33730909,1.34177409,1.31603058,1.32042454,1.32435284,1.32750648
2019,1,18,1.32726000,1.32837000,1.32316000,1.32657000,54214,0.99829174,1.32790257,1.33106467,1.33502463,1.33948200,1.31378247,1.31816892,1.32209051,1.32523876
2019,1,17,1.32526000,1.33184000,1.32474000,1.32756000,50709,1.00074629,1.32889357,1.33205802,1.33602094,1.34048164,1.31476292,1.31915265,1.32307717,1.32622777
2019,1,16,1.32627000,1.32839000,1.32350000,1.32507000,55156,0.99812438,1.32640107,1.32955959,1.33351507,1.33796740,1.31229693,1.31667842,1.32059557,1.32374027
2019,1,15,1.32826000,1.32938000,1.32259000,1.32625000,45381,1.00089052,1.32758225,1.33074358,1.33470259,1.33915888,1.31346555,1.31785094,1.32177159,1.32491908
2019,1,14,1.32615000,1.32973000,1.32523000,1.32835000,51140,1.00158341,1.32968436,1.33285070,1.33681597,1.34127932,1.31554531,1.31993764,1.32386450,1.32701698
2019,1,11,1.32317000,1.32781000,1.31830000,1.32664000,53706,0.99871269,1.32797265,1.33113491,1.33509507,1.33955268,1.31385179,1.31823847,1.32216027,1.32530869
2019,1,10,1.32059000,1.32587000,1.32005000,1.32375000,60205,0.99782156,1.32507974,1.32823511,1.33218665,1.33663455,1.31098965,1.31536677,1.31928003,1.32242159
2019,1,9,1.32725000,1.32784000,1.31798000,1.32089000,51546,0.99783947,1.32221687,1.32536542,1.32930843,1.33374671,1.30815722,1.31252489,1.31642969,1.31956446
2019,1,8,1.32952000,1.33223000,1.32672000,1.32726000,51590,1.00482251,1.32859327,1.33175701,1.33571902,1.34017872,1.31446582,1.31885455,1.32277818,1.32592807
2019,1,7,1.33614000,1.33876000,1.32784000,1.32994000,63469,1.00201920,1.33127596,1.33444609,1.33841610,1.34288480,1.31711998,1.32151757,1.32544913,1.32860538
2019,1,4,1.34875000,1.34954000,1.33750000,1.33755000,73188,1.00572206,1.33889360,1.34208187,1.34607461,1.35056887,1.32465662,1.32907938,1.33303343,1.33620774
2019,1,3,1.35748000,1.36542000,1.34690000,1.34875000,67850,1.00837352,1.35010486,1.35331982,1.35734599,1.36187789,1.33574866,1.34020845,1.34419561,1.34739650
2019,1,2,1.36264000,1.36620000,1.35688000,1.35772000,47603,1.00665060,1.35908387,1.36232021,1.36637316,1.37093519,1.34463219,1.34912164,1.35313532,1.35635750
2018,12,31,1.36369000,1.36644000,1.36088000,1.36304000,59456,1.00391833,1.36440921,1.36765824,1.37172706,1.37630698,1.34990091,1.35440795,1.35843736,1.36167216
2018,12,28,1.36172000,1.36605000,1.35946000,1.36402000,70211,1.00071898,1.36539019,1.36864156,1.37271331,1.37729651,1.35087147,1.35538175,1.35941405,1.36265118
2018,12,27,1.35689000,1.36604000,1.35658000,1.36173000,42460,0.99832114,1.36309789,1.36634380,1.37040871,1.37498422,1.34860354,1.35310625,1.35713178,1.36036348
2018,12,26,1.35781000,1.36178000,1.35673000,1.35708000,50657,0.99658523,1.35844322,1.36167804,1.36572908,1.37028896,1.34399836,1.34848570,1.35249748,1.35571815
2018,12,24,1.35934000,1.36162000,1.35645000,1.35918000,70390,1.00154744,1.36054533,1.36378516,1.36784246,1.37240940,1.34607812,1.35057240,1.35459039,1.35781604
2018,12,21,1.35076000,1.36006000,1.34927000,1.35985000,75217,1.00049294,1.36121601,1.36445743,1.36851673,1.37308593,1.34674166,1.35123816,1.35525813,1.35848537
2018,12,20,1.34835000,1.35304000,1.34460000,1.35076000,67176,0.99331544,1.35211687,1.35533663,1.35936880,1.36390745,1.33773929,1.34220572,1.34619882,1.34940449
2018,12,19,1.34607000,1.35068000,1.34152000,1.34836000,64822,0.99822322,1.34971446,1.35292850,1.35695350,1.36148409,1.33536242,1.33982092,1.34380693,1.34700690
2018,12,18,1.34049000,1.34966000,1.33904000,1.34634000,52731,0.99850188,1.34769243,1.35090165,1.35492063,1.35944443,1.33336189,1.33781371,1.34179375,1.34498892
